,full_name,group_id,shrot_name,user_id
0,Подслушано в ЖК Восток,92069348,vostok_kld,6767732
1,Региональная единая карта скидок | в Калиниграде,173810550,ek_skidok39,6767732
2,Убойный юмор,30179569,fucking_humor,6767732
3,♥..Три метра над уровнем неба..♥,31713884,vot__ono___schaste,6767732
4,Just for Girls - первый женский журнал,30320490,girlsblog,6767732
5,Клопс,23419392,klops39,6767732
6,Не поверишь!,28477986,ne.poverish,6767732
7,NightParty.ru в Калининграде,190991,nightparty_kld,6767732
8,"Шубы, меховые жилетки, мех! Спб, Питер.",264903,likeshopspb,6767732
9,Dинамика >> Обзор лучших событий в Калининграде.,365356,dinamika_kld,6767732
10,Рыбалка в Калининграде - KÖNIGFISHING.,1437634,kenigfishing,6767732
11,Дом советов ледовый каток Golden Way,1845494,golden_way,6767732
12,ЭДЕМ МЕБЕЛЬ,5494556,edemmebel39,6767732
13,Colibri Woodwoking Studio,5776440,colibri_wood,6767732
14,Любимое дело,10187817,padrablog,6767732
15,Ведущая праздников/тамада в Санкт-Петербурге/СПб,13165249,beznosenko_events,6767732
16,50 Оттенков,14087493,50sog,6767732
17,Всё о свадьбе | Свадьба по всем правилам,18835152,svadba,6767732
18,"Сеть магазинов ""Посуда из Германии""",20878797,germanaja,6767732
19,EVENT. Калининград.,21218191,kaliningrad_event,6767732
20,Новинки Музыки 2019,23180464,klassnenkiy_ru,6767732
21,ТУТА Групп,23677746,tutagroup,6767732
22,Я всегда буду твоим поводом напиться.,23917344,number1000000,6767732
23,Black Music Group - BMG,23974927,bmg_promo,6767732
24,Новый Калининград,24701002,newkaliningrad,6767732
25,Рак  ( 27 марта ),26170853,horoscoprac,6767732
26,ЛУЧШИЕ ИГРОКИ В МАФИЮ Г. КАЛИНИНГРАД,27335371,mafiakaliningrad,6767732
27,Summer of Love,27570790,summeroflove1967,6767732
28,Странный юмор,29614963,c.umor,6767732
29,Смешные картинки,29690610,mdakoff,6767732
30,ЛАЛ-Авто Калининград,30241739,lalauto,6767732
31,Типичный Калининград,31556867,typikal,6767732
32,Идеи для творчества и подарков своими руками,31805219,i_d_t,6767732
33,Без кота и жизнь не та ツ,32015300,bez_kota,6767732
34,Пи***ц вещает!,32114286,p_vesh,6767732
35,Балтийский Бродвей / TVOYBRO.com,32353919,broadway_online,6767732
36,Пудра • женский журнал,33477779,pudra.journal,6767732
37,Women's Secrets,34486229,secretswoman,6767732
38,"Мастерская ""Калининградские резные свечи""",35061996,kld.candle,6767732
39,Я хочу...,36008740,i_want_love_dream,6767732
40,Идеально 90 60 90,38457204,club38457204,6767732
41,Подслушано в Калининграде (ПВК),42481124,overhear_kld,6767732
42,Фабрика идей,43772432,hmideas,6767732
43,Вредный Журнал,44148704,looktips,6767732
44,Гений креатива,45770903,time.ideas,6767732
45,Тростниковый загар. Бронзирование,45891933,club45891933,6767732
46,"Клуб рукопашного боя ""White Wolf"" | Калининград",46401322,whitewolfteam,6767732
47,Мир Дизайна,49592543,design_is,6767732
48,"Прокат лимузинов, мерседесов в Калининграде",51317389,vip_prokat,6767732
49,vkBirthday - Сервис поздравления подписчиков ВК,55592216,ru.vkbirthday,6767732
50,Стопкадр,55801077,coups,6767732
51,"Ресторан ""Таймс""",56069501,timesrest,6767732
52,Как Просто • Рукоделие ✂ HandMade,56869593,kakprosto_rus,6767732
53,FotoFocus | ФОТОКАБИНКА | ФОТОСТОЙКА,63902708,thefotofocus,6767732
54,Клуб рукоделия,65647630,be.kreativ,6767732
55,APPLE,71098022,vk_iapple,6767732
56,Гонки39.ру - Календарь автоспорта Калининграда,72115907,gonki39,6767732
57,Бесплатный Калининград,74983758,kaliningradfree,6767732
58,"Калининград | О путешествиях за ""три копейки""",75338949,shopogolik,6767732
59,Я фотошоплю как бог,75338985,ps_kak_kretin,6767732
60,Кёниг Квест — квесты в Калининграде,81862734,kquest,6767732
61,"""BalticRest"" - туристическая карта",97614671,balticrest,6767732
62,Музыка ВМобилке,109108138,vmobilke,6767732
63,"Подслушано ""Аэропорт Храброво""",123786256,overkgdaero,6767732
64,X-Tenni$ | Прогнозы на теннис,25813288,x_tennis,6767737
65,Atlas Weekend,109370986,awf,6767737
66,Настоящий Лентач,125004421,true_lentach,6767737
67,ФОНОТЕКА на Марата. LP+CD+DVD,302937,magazinphonoteka,6767737
68,Best Youtube Covers,433907,bestyoutubecovers,6767737
69,TESSERACT,1284074,uktesseract,6767737
70,Запоріжжя онлайн,1876062,online_zp,6767737
71,Любители журнала НАШ,3298935,nashjournal,6767737
72,Sega Music (музыка из игр Sega),3718772,megadrive_music,6767737
73,Crazy Guitar Effects 👽,4654049,crazybox,6767737
74,VGMC,6715000,vgm_community,6767737
75,Sergey Golovin,7911017,sergeygolovinguitar,6767737
76,Between The Buried And Me,9805768,btbam,6767737
77,RAY [music band],9881665,ray_band,6767737
78,Девять Целых,10457426,iheartnine,6767737
79,Nikon Story,11583550,nikonstory,6767737
80,Gene Willow,12568482,genewillow,6767737
81,Регги Reggae International,18775525,reggae_music,6767737
82,ТСН,20035339,tsnua,6767737
83,Southern Rock ★ Stoner Rock,21599119,southern_stoner,6767737
84,Photo Meeting | Фотографы Запорожье,21710327,pm_zp,6767737
85,Heart l Football,22660896,heartlfootball,6767737
86,Марат Сафин,22759939,maratneva,6767737
87,Booking Machine Agency,23429334,bookingmachine,6767737
88,Anthropocide Studio - mixing & mastering,23876923,mixingstudio,6767737
89,Мода,24089576,modaguide,6767737
90,Kings of Leon,24584347,kingsleon,6767737
91,Типичное Запорожье,24739958,tp.zp_ua,6767737
92,Арнольд Шварценеггер | Iron Arnold,25341300,ironarnold,6767737
93,✈ Cindy Crawford ✈ Синди Кроуфорд,25837423,clubcindycrawford,6767737
94,stoner,26457580,stonermusic,6767737
95,Блог CG,26585915,eccendom,6767737
96,Сыендук,26713492,sienduk,6767737
97,dsrhwae4wjh86ja8,26971301,shortandloud,6767737
98,Афиша Полтавы,27017726,afisha.poltava,6767737
99,► VST / Сведение / Мастеринг,27086454,soundrecord,6767737
100,➟ Bike,27672722,bike_head,6767737
101,ALEXANDER TIKHOMIROV & BORNTOBE_WEAR™ BLOG,27973101,borntobe_wear,6767737
102,ВЛАДИМИР ЛЕХТИНЕН,28399953,vladimir.lehtinen,6767737
103,Самый нормальный фотограф из Киева,28858195,alexandernesterovphoto,6767737
104,Мария Хикари ~ свадебный фотограф ~ Одесса,28928277,hikari_photography,6767737
105,LEON BET | Прогнозы на спорт | NHL,29331419,leon__bet,6767737
106,Пивные друзья,29787285,beerfriends,6767737
107,rúin áilleacht,31035292,aon_bhean_nach,6767737
108,Пробитый турист,31260648,public.php_turist,6767737
109,BON JOVI | FOREVER,31597515,club31597515,6767737
110,CSBR Media,31641338,csbrgang,6767737
111,#Orange | Україна,33006328,ultraorange,6767737
112,Noizr Productions,33676651,noizr,6767737
113,Philanthropic Division,33802345,philanthropic_info,6767737
114,PRO FOTO,34084756,profotopro,6767737
115,NU-GOTH,34230054,nu_goth,6767737
116,НАСТОЯЩИЙ ГРОУЛ NEWS,35864738,growl666,6767737
117,Art for adults,36202321,artforadults,6767737
118,MUSCHOOL ROLL,36532530,muschool_roll,6767737
119,01:07 MUSIC,36648726,music0107,6767737
120,Рейтинг Букмекеров,36727435,bookmakersrating,6767737
121,Personal Witches,36831577,personal_witches,6767737
122,60172824s,37513876,public_60172824s,6767737
123,Evil Tattoo Gallery,37520347,eviltattoogallery,6767737
124,ЛУКОШКО РОССИЙСКОГО ГЛУБОКОМЫСЛИЯ,38442606,glubokomis,6767737
125,MDMETAL - Mad Deer: Metal Releases,38488418,mdmetal,6767737
126,"It's VFX, bitch!",38724885,vfxbitch,6767737
127,Beacon,38826136,bacon_gaming,6767737
128,#ГеймСетМакс - теннисный блог Макса Тимченко,38889635,gamesetmax,6767737
129,БРАТСТВО.INFO,39374252,bratstvoinfo,6767737
130,C h o p - C h o p,39444069,chop.choppp,6767737
131,Metal  | Металл,39678676,metal_rockk,6767737
132,PavelTennis | Ставки на спорт,39793014,paveltennis,6767737
133,ПАДВАРОТНЯ,40770492,padvarotnya,6767737
134,Colossus of Destiny,41643760,club41643760,6767737
135,E:\music\martial,41776457,e_music_martial,6767737
136,Націонал-соціальний нотатник,41824834,avtonom_in,6767737
137,DRUGS & BOOZE,41970634,drugsandbooze,6767737
138,Обитель Лесной Ведьмы,42311101,witchofthewilds,6767737
139,Key To Nothing,42429577,key2nothing,6767737
140,Guitars & Amplification,42820201,guitaramplification,6767737
141,Полезные Музыкальные Видео / Миша Ряженка,42937379,musicedu,6767737
142,Большой теннис Украины - BTU.org.ua,43050704,tennis_ua,6767737
143,Noisy Forecast Music Label,43597988,noisyforecast,6767737
144,Ivan Gorokhov Production,43983576,ivan.gorokhov,6767737
145,Фотографии Запорожья,44855236,zphoto_zp,6767737
146,Селюки,45127882,selyuki,6767737
147,Gourmet с Алексеем Ниловым,45404965,gourmetfcm,6767737
148,Велотурист. Перезавантаження.,47046590,veloturist061,6767737
149,AD,48073201,a_d_art,6767737
150,ДЕЛО,48127009,delodelodelo,6767737
151,Очень смешные анекдоты,49268475,hilarious_stuff,6767737
152,CrazyBet l Прогнозы на спорт,49673236,crazybet14789,6767737
153,"Ставки на спорт  | ""Hawk-eye""",49947925,stavki_hawkeye,6767737
154,PLASTINKA.COM. Магазин виниловых пластинок,49992457,publicplastinka,6767737
155,"Фотостудия ""MATIS""",50027209,matis_foto,6767737
156,Бесплатные шрифты,50911295,shrift,6767737
157,"UKRPATCHER - нашивки, значки, кепки, шапки.",51256356,ukrpatcherr,6767737
158,ВЕЧНО XVII,51481744,vechno17blog,6767737
159,National Geographic Україна,52159734,natgeoukraine,6767737
160,Говорящий напёрсток,52689614,sirodmin,6767737
161,Озвучка AdrianZP,52919224,adrianzp_dub,6767737
162,Уроки Гитары - Гитарный Учитель,53679478,tomhessguitar,6767737
163,TM Death Metal,54750234,tmdeathmetal,6767737
164,DEATHORDER [ groove/thrash/death metal],55546323,deathorder,6767737
165,Нетипичное УБИЙСТВО | ОА | The OA,55551556,killing2,6767737
166,Kids of Plants🌱,55653551,kids_of_plants,6767737
167,молоко бешеной коровы,56818746,moloko6666,6767737
168,THE HYPNOTUNEZ,57493307,the_hypnotunez,6767737
169,краткие обзоры на дешевое и вкусное бухло,57640721,endless_hangover,6767737
170,Devon's Formation,57676871,dvform,6767737
171,До и после - Photoshop - обработка фото,57950162,do_iposle,6767737
172,ROCK STAR музыкальный магазин Запорожья,58185572,rockstar_zp,6767737
173,Козацький цитатник,58260737,nemaperevodu,6767737
174,RETROWAVE,58267631,retrowave,6767737
175,BOSCO,59085546,bscoo,6767737
176,Бесплатные пресеты - Lightroom -  Lightroom CC,59199907,ilovelightroom,6767737
177,♚ E L T A C T O,59835096,eltacto,6767737
178,Тёплый ламповый паблик про фото,60364434,softlamp,6767737
179,Forpost  l  Запорожское информационное агентство,63704859,forpost.media,6767737
180,Миссисипи Не Так Далеко,63719425,club63719425,6767737
181,Тату мастера Украины,64331289,tattoos.artist,6767737
182,TATTOO ARTIST,65762592,tattoo_inks,6767737
183,God's right hand,65859201,godsrighthand,6767737
184,Technical Guitarist,68858973,tguitar,6767737
185,МЯСО | Мужская кухня,68988957,mensrecipes,6767737
186,.38 Special,69615712,38special,6767737
187,UI/UX DESIGN professional,70125863,ui_ux_design,6767737
188,Українські патріоти | Слава Україні,70852858,publicukukrainianresistance,6767737
189,"Магазин виниловых пластинок ""Musical Octopus""",70913091,musicaloctopus,6767737
190,Хащі,71142405,haschi,6767737
191,Валерій Баранов - Голова Запорізької ОДА,71756704,club71756704,6767737
192,Рецензии на дешевую еду,72133851,mmmmvkusnyatina,6767737
193,Дневник Каппера,73050936,dnevnikcappera,6767737
194,Время Увечий - Час Каліцтв,73677537,vu_zp,6767737
195,STROBIST,74576249,strobists,6767737
196,TotalScore+ | Прогнозы на спорт,74797581,tennistipsplus,6767737
197,The world of tennis | Прогнозы на теннис,74847548,tennis11,6767737
198,GoPro Fans Ukraine,75240530,goherocomua,6767737
199,ПУНКТ СБОРА ПОМОЩИ ВОЕННЫМ В ЗОНЕ АТО. ЗАПОРОЖЬЕ,75263394,club75263394,6767737
200,"THIS IS MY MUSIC,BITCH!!!",75752076,club75752076,6767737
201,Fantasy | WIMBLEDON  2017,76345434,fantasytennis,6767737
202,Прогнозы + Фентези (резервная),76353063,reservetennis,6767737
203,OKEY ︎ DESIGN,76848884,okeydsgn,6767737
204,Бешеная Рыбалка  ©,77443976,steepfishing,6767737
205,фывфыв,77567709,tipovi_provokatori,6767737
206,"Фітнес-клуб ""Малібу"" Львів",78293393,malibu_lviv,6767737
207,Загнивающий Запад,78543917,decaying_europe,6767737
208,Stanislav Rico - Landscape/Street Photographer,78759272,stanislav_rico,6767737
209,Fashion_market,79450653,fashion__market,6767737
210,HARD♥CANDY   эксклюзивное белье ручной работы,80812953,hardcandylingerie,6767737
211,THE ERISED,81374734,theerised,6767737
212,Бесплатное Запорожье / Безкоштовне Запоріжжя,81893334,zaporozhe_free,6767737
213,avoid the lights,84422977,avoidthelights,6767737
214,"Barber Shop ""Grizzly"". Запорожье",84529897,barbershop_grizzly,6767737
215,Malencontre,85876884,malencontre,6767737
216,"Megg, Mogg and Owl || Simon Hanselmann 18+",86995161,meggmoggowl,6767737
217,NB|SPORTS,87119491,club87119491,6767737
218,Новости Большого Тенниса,88182596,tennisnews1,6767737
219,Behated,88259567,behated,6767737
220,Прогнозы на большой теннис от Sock_Tennis + LIVE,89710394,alex_tennis,6767737
221,N + 1,91933860,nplusone,6767737
222,"""Музичний Опір""",92214792,muz_sektor,6767737
223,Походы. Выживание. Туризм,93074026,treking,6767737
224,#RaptorBet | Прогнозы на теннис,94870330,raptorial_cappers,6767737
